fileId,orgin_fileId,title,url,keywords,description,source,author,date,year,domainName,websiteName,views,comments,likes,forwardings,language,area,title_in_article,news_category,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
text_2241947c512c7700084a813c059779c1.txt,2241947c512c7700084a813c059779c1,汽车巨头们的碳中和路径（五）法意??https://zhuanlan.zhihu.com/p/444529096,"汽车,碳中??环境、社会和公司治理 (ESG)",本文内容分为以下部分??法国/意大利汽车巨头的碳中和路??a. 雷诺汽车碳中和目标及达成策略 b. FCA碳中和目标及达成策略 c. PSA碳中和目标及达成策略法国/意大利汽车巨头碳中和总结参考资料注：本文主要参考雷诺??,三水,2021/12/13,1905/7/13,zhuanlan.zhihu,知乎专栏,,0,0,,zh,意大??,,,,,,,,,,,
text_5fbfd46c54c296fbf23532c95d2afcbe.txt,5fbfd46c54c296fbf23532c95d2afcbe,意大利能源专家积极评价中国环保举??https://baijiahao.baidu.com/s?id=1627785917251154063&wfr=spider&for=pc,,,,海外??2019-03-12,2019,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,,,
text_30232b215d1d54b49d1220dda5dea2bf.txt,30232b215d1d54b49d1220dda5dea2bf,意大利国家制革协会发??020年可持续发展报告,https://baijiahao.baidu.com/s?id=1686398207866441490&wfr=spider&for=pc,,,,皮料??2020-12-18,2020,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,,
text_f75d4b2702d093008b53520c82328c99.txt,f75d4b2702d093008b53520c82328c99,意大利推出限塑令 禁止销售一次性塑料制??https://baijiahao.baidu.com/s?id=1721949044062213295&wfr=spider&for=pc,,,,中国侨网,2022/1/15,1905/7/14,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,,
text_f1c391c16d64fb61efe9d2b44b83eb01.txt,f1c391c16d64fb61efe9d2b44b83eb01,孔特：意大利将成为绿色经济领导??https://baijiahao.baidu.com/s?id=1647084398789915653&wfr=spider&for=pc,,,,同花顺财??2019-10-11,2019,baijiahao.baidu.com,百家??,1,,,zh,意大??,,,,,,,,,,,,
text_f18e7cc0de3dfe0e87f833d4ede0908f.txt,f18e7cc0de3dfe0e87f833d4ede0908f,意大利总理：在有效和包容性的多边框架内着力实现可持续发展,https://baijiahao.baidu.com/s?id=1697770868438124048&wfr=spider&for=pc,,,,金融??2021-04-23,2021,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,,
text_be64d351553dade70c41c122717fcff7.txt,be64d351553dade70c41c122717fcff7,协会动??| 中国-意大利循环经济与可持续发展论坛在蓉举??https://www.sohu.com/a/256741703_774581,"可持续发??循环经济,论坛,意大??合作,动??中国,四川,交流,总领事馆",??中国—意大利循环经济与可持续发展论坛开幕式 国家发展改革委环资司副司长马荣出席论坛并致辞，她详细阐述了循环经济在中国的发展现状及所取得的成就，并指出中国早??009年就出台了《中华人民共和??,中国循环经济,2018/9/28,1905/7/10,www.sohu.com,搜狐,100,0,0,,zh,意大??,,,,,,,,,,,
text_2a48320d0a8953f201f60ac0d46a1480.txt,2a48320d0a8953f201f60ac0d46a1480,绿会接待意大利前环境部长/探讨在绿色可持续发展与循环经济领域的合作,https://www.sohu.com/a/309678958_100001695,"发展,中国,Clini,Corrado,绿色,生??Arvea,环境,领域,先生",在推动经济转型过程中要“在保护中发展，在发展中保护”。研究GEP与生态资产核算理论和方法，是绿会推动生态文明体系构建、绿色发展的又一探索??中国需要学习、借鉴先进经验，双方在生态文明建设框架下的交流，其目??,中国绿发??2019-04-22,2019,www.sohu.com,搜狐,78,0,0,,zh,意大??,,,,,,,,,,,
text_3e304ee17b985f51827a91ccf315056f.txt,3e304ee17b985f51827a91ccf315056f,中国—意大利循环经济与可持续发展论坛在成都举??四川与意大利将建立能源环境市场的信息交换平台,https://baijiahao.baidu.com/s?id=1612369705847378882&wfr=spider&for=pc,,,,川观新闻,2018/9/23,1905/7/10,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,
text_cacc633dca262707efc4501a71789a23.txt,cacc633dca262707efc4501a71789a23,意大利古典园林对当代高层绿色建筑的启??| 胥一??| 时代建筑2018年第4??https://www.sohu.com/a/245592116_681890,"建筑,园林,高层,意大??植物,绿色,当代,启示,OneCentralPark,自然",,,时代建筑,2018/8/6,1905/7/10,www.sohu.com,搜狐,659,0,0,,zh,意大??,,,,,,,,,,
