fileId,orgin_fileId,title,url,keywords,description,source,author,date,year,domainName,websiteName,views,comments,likes,forwardings,language,area,title_in_article,news_category,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
text_ef0fb6368dcf09361d4bcbdf2b0a93fc.txt,ef0fb6368dcf09361d4bcbdf2b0a93fc,丹麦、德国、意大利这“三剑客”引领欧洲生物气发展,https://baijiahao.baidu.com/s?id=1639084892399017438&wfr=spider&for=pc,,,,中国电力??2019-07-15,2019,baijiahao.baidu.com,百家??,0,,,zh,意大??,,,,,,,,,,,
text_6f3f692e210e644918ff2a50fc8b9a2a.txt,6f3f692e210e644918ff2a50fc8b9a2a,意大利太阳能产业发展的启示录,https://guangfu.bjx.com.cn/news/20110907/307891.shtml,"意大利太阳能产业发展的启示录,太阳??光伏,意大??,意大利太阳能产业发展的启示录，根据荷兰太阳能产业咨询公司SolarPlaza近日发布的一份报告，2010年，由于采取了各种合适的激励政策，意大利全国的太阳能装机量仅次于欧洲太阳能第一大国德国；而今年上半年，意大利的太阳能光伏装机总量已经超过了德,中国能源??,2011/9/7,2011,news.bjx.com.cn,北极星网,,,,,zh,意大??,",,,,,,,,,,,,,,,,,,,,,,
text_bb84f9d3a2d0290e24be0488f2ce7535.txt,bb84f9d3a2d0290e24be0488f2ce7535,马克龙称德国新总理“亲爱的奥拉夫”，释放什么信??https://baijiahao.baidu.com/s?id=1718934859310534651&wfr=spider&for=pc,,,,第一财经,2021/12/12,1905/7/13,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,
text_342e4840aa6957ac9dc32bdbd2acdb54.txt,342e4840aa6957ac9dc32bdbd2acdb54,遗憾！德国政府未能就绿色氢战略达成一??https://baijiahao.baidu.com/s?id=1668452643174781886&wfr=spider&for=pc,,,,全国能源信息平台,2020/6/3,1905/7/12,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,
text_0cd6b143c354c4a3f25c1f3404cda94c.txt,0cd6b143c354c4a3f25c1f3404cda94c,德国欲在海上风电场附近新建人工岛，多余风电就地变氢能,https://baijiahao.baidu.com/s?id=1643022775683666300&wfr=spider&for=pc,,,,海报新闻,2019/8/27,1905/7/11,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_87d3b6548a4194b771df4a31f0b41ea6.txt,87d3b6548a4194b771df4a31f0b41ea6,默克尔赴美“告别之旅”，德美关系重塑还是“貌合神离”？,https://baijiahao.baidu.com/s?id=1705511626348911855&wfr=spider&for=pc,,,,第一财经,2021/7/17,1905/7/13,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_ba2225fb7f9936d98bdaff37433c457a.txt,ba2225fb7f9936d98bdaff37433c457a,德国将于2019年年底发布国家氢能战??https://baijiahao.baidu.com/s?id=1648257894830294079&wfr=spider&for=pc,,,,第一元素??2019-10-24,2019,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,,
text_ae8fbd3c1de7bdc67d798b7fb7170413.txt,ae8fbd3c1de7bdc67d798b7fb7170413,德国增加投入5600万欧元资助氢能基础研究,https://baijiahao.baidu.com/s?id=1694981272259814503&wfr=spider&for=pc,,,,走出去导航网,2021/3/23,1905/7/13,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_4c26ebb2fadf1b4f714bd7eb56c3832f.txt,4c26ebb2fadf1b4f714bd7eb56c3832f,摆脱石化燃料，德国计划到2040年海上风电容量翻五??https://baijiahao.baidu.com/s?id=1669071557071753945&wfr=spider&for=pc,,,,见道??2020-06-10,2020,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,,
text_74eb59e39652e3bd871372caf8c87fdb.txt,74eb59e39652e3bd871372caf8c87fdb,敞开天然气大门，默克尔为何放行特朗普,https://baijiahao.baidu.com/s?id=1615132951675730281&wfr=spider&for=pc,,,,北京商报,2018/10/24,2018,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_f7e66711ed0e4681ca683eefaf834634.txt,f7e66711ed0e4681ca683eefaf834634,全球变暖真的是谣言吗？德国的煤炭工人已经失业了，看完就明白??https://baijiahao.baidu.com/s?id=1645428970098528635&wfr=spider&for=pc,,,,历史小禾,2019/9/23,2019,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,
text_de15dc1fbed990927f9d0dd9869a1401.txt,de15dc1fbed990927f9d0dd9869a1401,德国提前一年完??020年海上风电装机目标！,https://baijiahao.baidu.com/s?id=1655931447280409309&wfr=spider&for=pc,,,,全国能源信息平台,2020/1/17,2020,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_28b842d9047ee42f38f3473fc0e505a0.txt,28b842d9047ee42f38f3473fc0e505a0,环球论坛｜默克尔谢幕之旅：从能源合作看俄欧关??https://baijiahao.baidu.com/s?id=1709195743778754270&wfr=spider&for=pc,,,,人民资讯,2021/8/27,2021,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,,
text_abe5d384ce560e899b3c0f32d03bcdb9.txt,abe5d384ce560e899b3c0f32d03bcdb9,美国强推LNG，德媒：不想??https://baijiahao.baidu.com/s?id=1611955604876212779&wfr=spider&for=pc,,,,第一财经,2018/9/18,2018,baijiahao.baidu.com,百家??,3,,,zh,德国,,,,,,,,,,,
text_3bbad9013d69f89b62caf6ca18ca0229.txt,3bbad9013d69f89b62caf6ca18ca0229,德国本周将正式开启社民党、绿党、自民党联合组阁谈判，默克尔的联盟党将沦为在野党,https://baijiahao.baidu.com/s?id=1714071910138034134&wfr=spider&for=pc,,,,人民资讯,2021/10/20,2021,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_775ed8aaad9eac490cecff62186345ca.txt,775ed8aaad9eac490cecff62186345ca,德国“红绿灯”政府确立！联合执政协议利好新能源与数字产业,https://baijiahao.baidu.com/s?id=1717360785566968271&wfr=spider&for=pc,,,,人民资讯,2021/11/25,1905/7/13,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_f47734b4bdb000e319038795e94ccd72.txt,f47734b4bdb000e319038795e94ccd72,默克尔谢幕之旅：从能源合作看俄欧关系,https://baijiahao.baidu.com/s?id=1709199890680359846&wfr=spider&for=pc,,,,大众日报,2021/8/27,2021,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
text_e509f31d768c47569a907299c2d2d3cb.txt,e509f31d768c47569a907299c2d2d3cb,从《绿色技术德国制??018》看德国绿色技术行业的发展,https://baijiahao.baidu.com/s?id=1599973025521737955&wfr=spider&for=pc,,,,澎湃新闻,2018/5/9,2018,baijiahao.baidu.com,百家??,0,,,zh,德国,,,,,,,,,,
