file_name,keywords,count,text_length
text_01aa398fda832f9569cd6243b501e13f.txt,"股份,电力,评论,A股,频道,数字,龙源,岭南,能源,借条",10,3324
text_035ae9e214167e6856628d3182cdd7d8.txt,"投资,工业,电动汽车,欧元区,生产,氢能,财政纪律,核能,培训,总统大选",10,1910
text_047ce4ecaa10caa5265b2e75c7bd9723.txt,"气候,汽车,气候变化,柴油,电动,混合,滑稽可笑,基础设施,排放量,保护环境",10,2622
text_05b8e21a429e52edff9622f578c6962f.txt,"电池,电动车,汽车,生产,整车,投资,工厂,动力,亚洲,规划",10,6468
text_069c94af3f3a98a2fbf7e2a07164a797.txt,"核能,反应堆,石油,核电,福岛,发电站,天然气,讲话,谈判代表,听证会",10,1652
text_09c3f8acdf5d487b81e6c9ba07447a03.txt,"马甲,巴黎,运动,阶层,抗议,柴油,约合,店铺,涨价,欧分",10,2546
text_0c4fb68c892e17965115bcfb5751a4a7.txt,"伏梦滢,能源",2,132
text_0e730d4aa03d21d13bb17ba4638bca89.txt,"电动汽车,电动,人民币,混合,汽车,动力,转型,车队,电池,新车",10,578
text_0eb035a48c51912652c6dab97fcb6f9c.txt,"气候变化,气候,生态,报告,产生,右翼,风力,评估,联合国,部长",10,4210
text_1205b1c9dd82f6629082397aced8f4eb.txt,"转型,能源,绿色,气候,生态,气候变化,二氧化碳,大会,公民,法令",10,3450
text_13e6e0935ccd9e22371ee1e495dd841c.txt,"电池,电动汽车,汽车,制造商,电源,亚洲,东莞市,供应商,锂电,化学",10,2008
text_1652491c62c749d715d5d5686d3fdbf8.txt,"佳能,灭绝师太,纳达尔,波瓦,艾伦",5,286
text_16789e9ebc4aac333d79b1af88413908.txt,"法雷奥,汽车,技术,新能源,博瑞,电子,动力,部长,吉利,生产",10,1418
text_16b73924ed4dab25774b739bad9d3452.txt,"能源,压水堆,碳化,本土,工业,核电,参考消息,刘卓,可行性,成本",10,1128
text_16d24f0889e5567bec963e8e5ac74edf.txt,"燃料,循环,核能,牛肉,航空,技术,飞机,农业,中法两国,空客",10,6650
text_174f10661ec04ec6fb5a91e75313315f.txt,"远景,能源,绿色,动力,工厂,雷诺,电池,智能,电动汽车,转型",10,7720
text_1937ca986783cf37953bf53bf4c15724.txt,"勒庞,太阳能,风能,补贴,电力,生产,氢气,玛丽娜,风力,机组",10,950
text_1a38d1668de16c53e555a7f9c67315d4.txt,"绿色,工厂,模块,培育,冠军,生产,领导者,电动汽车,氢能,大量",10,480
text_1ac76ec100a8ba4b7583a3944f6a26fc.txt,"技术,风能,储能,氢能,生物质能",5,224
text_1cfd778165dd1c1aea83aa05a3c3af76.txt,"巴黎,自行车,阿诺德,都市,峰会,社会,记者会,地球,气候变化,气候",10,5126
text_1f0cb7589e0938dda1237ca1cc664a14.txt,"绿色,远景,转型,中欧,数字化,数字,科技,智能,风电,智慧",10,6050
text_205fc12b2ca6142f5328aa5aef42ecac.txt,"欧中,美英,管控,天然气,束缚,北溪,分歧,对话,潜艇,大单",10,2116
text_214f0321118905c607996128e5e23e85.txt,"气候,世界气象组织,二氧化碳,浓度,海洋,警告,气候变化,极端,天气,当量",10,5100
text_21d426af1badc9711761a1b03be1f847.txt,"黄金,英国,外汇,行情,王杨,气候,盛文兵,英国首相,手机网,微信",10,6456
text_2438b7671e9dcbc489014692cc1bc425.txt,"免费,微信,学会,公众,资讯",5,218
text_2498d0bb56a58c270ff33a9c0f08914d.txt,"气候,气候变化,世界气象组织,峰会,印度,二氧化碳,浓度,海洋,大会,警告",10,6384
text_2697e35510f0cfeded57850926a4a813.txt,"软件,领导者,疫情,投网,行情",5,296
text_273692ed896ea6058a13a45b844398c7.txt,"财经,发电厂,微信,能源价格,资讯",5,246
text_2cf56a0dd611f635d4dbea324a3a3ca4.txt,"投网,外汇,转型,能源,风向标",5,258
text_2cfb9e9f7460fdd1abc1315724319ddc.txt,"核能,能源,核电,阿海,核电站,中法,柴油,电力公司,勒庞,候选人",10,6254
text_333db9494a176c3d5c6fdda45979dae2.txt,"风力,发电,能源,涡轮机,自由主义,风能,风电场,遗迹,发电场,核能",10,2526
text_355d00ae40070ecd87c7303ba12b4dbb.txt,"核能,反应堆,石油,核电,福岛,发电站,天然气,讲话,谈判代表,听证会",10,1616
