file_name,keywords,count,text_length
text_0146dfa9-5558-4312-983f-5aa589646b27.txt,"工作,会议,着力,改革,力度,形势,升级,总体,中央,合理",10,1431
text_01a47927-b154-46f0-965d-97eddf494549.txt,"生态,文明,工作,着力,改革,会议,绿色,部署,党中央,供给",10,1366
text_02465696-9a28-49f8-b457-b0a47fdfd075.txt,"交通,疫情,基础设施,绿色,大会,联通,开幕式,肺炎,互利,联合国",10,1849
text_0306e0a4-e073-4d7b-8fa4-4b32b377213a.txt,"重温,缔约方,国家机关,微信,中国共产党",5,262
text_0433c4ec-5eb2-477c-a4a1-6f1c93530ebe.txt,"会议,能源,部长级,微信,联合国,气候变化,巴黎,部长,模范,重温",10,1002
text_05935cb3-0247-4afc-bf6b-4c8c9a06be0b.txt,"生态,文明,体系,环境保护,制度,环境,领导,绿色,改革,污染",10,4109
text_06e04972-87b3-496c-afcb-1193f3317df7.txt,"绿色,生态,巴黎,气候变化,生活,空间,大会,长江,经济带,座谈会",10,2197
text_09844767-5668-4bc7-908a-c966624a0424.txt,"分类,制度,垃圾,生活,环境,群众,生态,人民,工作,重点",10,3420
text_0d52f63c-2cbc-4bbd-a3f3-e3e424e90b68.txt,"示范村,通车,乡村,峰会,评论,储信艳,赣州市,褚旭辉,闫欣雨,材料",10,724
text_0de7fc01-686a-419a-a0c5-b714682cac59.txt,"生态,秦岭,保护区,违规,人大代表,全国,千岛湖,整治,木里,环境",10,2886
text_0f3b74df-c168-4f16-a137-7de1e1c77ffe.txt,"水电站,白鹤,机组,投产,发电,容量,金沙江,功率,水轮,贡献",10,1167
text_161c40cb-f7bf-4e5f-909f-2cd38ffd651a.txt,"香港,天然气,梁振英,会见,行政长官,特区政府,两岸关系,依法,普京,工作",10,2191
text_1ba0c2b2-ccbd-4e00-956d-f2b84543ccbd.txt,"人权,和平,双边,杭州,两国,中美合作,领导人,南海,西湖,中美关系",10,1534
text_1cd9414e-6480-47d8-9709-3df3f8fef7ca.txt,"能源,综合,经济社会,新能源,绿色,消费,优化,排放量,规模化,子系统",10,1379
text_1ee78a98-d794-4a8f-88c5-399b52ad0c3f.txt,"乳业,德胜村,奶粉,村民,旗帜,学海,生产,电站,年糕,贫困户",10,6338
text_201fa4f3-4d94-4f17-b8ea-cde0c90179f2.txt,"中俄,核能,和普京,高水平,核电站,合作项目,外交部,孙楠,机组,赵立坚",10,421
text_25ef188a-3971-4699-bd9a-c10568a0cffc.txt,"核电,高铁,文化,汤显祖,莎士比亚,客机,故事,纪念,名片,牡丹亭",10,3439
text_266b09d2-ef8d-4cc4-a70a-392e7477dc83.txt,"绿色,监管,中央,生活,会议,技术,财经委员会,生态,能源,责任",10,2369
text_26dcc936-1b57-41e3-b0b7-801f38e65cad.txt,"交通,铁路,服务,着力,疫情,绿色,讲话,中心,联通,大会",10,2384
text_297315a9-9392-4de0-b5c9-ad4639ad39e4.txt,"荷兰,关系,中欧,中荷,投资,荷方,国王,亚历山大,恐怖主义,进程",10,2710
text_299f1585-b909-483b-8d22-a051b427bd95.txt,"气候变化,绿色,行动,公约,转型,框架,理念,联合国,能源,缔约方",10,868
text_29ee4fda-6489-48ee-9578-0d16023df27b.txt,"力争,牛镛,相符合,绿色,领导人",5,279
text_2b712ad8-5049-4375-987b-50641a3363ec.txt,"绿色,工作,能源,体系,技术,资源,转型,交易,生态,消费",10,2723
text_2b9bcfbc-b2eb-4385-a26a-0ef2afd14d10.txt,"生态,全面,空气质量,空气,社会效益,群众,环境治理,着力,关键,专题",10,811
text_2df0757f-3577-4a4e-9072-a25a0aa4d579.txt,"绿色,气候,生态,气候变化,文明,人类,行动,领导人,转型,责任",10,2523
text_2e821cbb-f639-43ec-8571-4ad58a2133be.txt,"杭州,峰会,金融,改革,领导人,土耳其,开幕辞,同事,精神,全面",10,2995
text_2e910b97-4f53-4c5e-95f2-12fc60800363.txt,"植物,大会,植物学,人类,地球,贡献,文明,科学研究,绿色,生态",10,1593
text_2f4ce7e4-52e9-4d8d-aaad-7970d44376ca.txt,"碳达峰,绿色,生态,金融机构,金融,能源,人民,时间表,转型,新能源",10,2179
text_2fcf5019-35d0-4071-9203-dc8840a0848d.txt,"新能源,大会,科技,大赛,交流,汽车,黔江,汽车产业,幼儿,雾凇",10,329
text_302ca88a-c887-467d-a02a-c4d15e504da9.txt,"生态,文明,环境,制度,绿色,责任,体系,理念,河道,环境保护",10,6296
text_3298295b-7703-4125-9eac-a6ea5da76928.txt,"生态,绿色,内蒙古,资源,制度,环境保护,绿水青山,生产力,环境,领导",10,3057
text_36f73bc0-9658-4ef6-8f2c-524017fa4bc0.txt,"改革,民生,人民,市场主体,制度,石油,活力,群众,黔江,全力",10,600
text_37da3b63-7443-4b80-8675-db5bdcf29d63.txt,"核电,技术,华龙,中核,机组,核电站,中广,设计,防城港,福清",10,5670
text_3a6608be-eff3-4851-a0e9-d0e87b6f0f27.txt,"城市,规划,历史,城镇化,文化,工作,城市规划,基础设施,人口,总体规划",10,4280
text_3dcc71e9-7859-4b1f-959e-b779bfc9dbdd.txt,"缔约方,大会,峰会,东欧国家,领导人,主旨,环境保护,股份,能源,交流",10,309
text_3eb0699d-4930-44e5-8b9d-20028596b900.txt,"生态,绿色,文明,体系,博鳌,人类,构筑,新能源,环境保护,美丽",10,1829
text_3fc010be-5988-4cdc-b6fc-011a5a907c76.txt,"生态,文明,空间,环境,资源,人民,重点,意识,格局,节约资源",10,2244
text_40b92aaa-a8fb-4c32-8106-e8490211ebad.txt,"生物,生态,文明,环境治理,联合国,环境,昆明,疫情,美丽,肺炎",10,1769
text_4145c0f0-917d-45d4-8615-cccaaf4c8c00.txt,"森林,生态,能力,草原,国土,海洋,植被,冻土,文明,土壤",10,1635
text_41e99aef-dfbc-4cc2-9bd9-b86de311fa40.txt,"科技,科学,技术,人才,社会,活动,基础,人民,成果,培育",10,6251
text_4203c46f-b495-423e-84d7-24797b026c9b.txt,"气候变化,原则,大会,巴黎,午餐会,技术,能力,联合国,领导人,家庭装",10,1259
text_4268c8b7-bbbb-428e-aa3a-feb5d2780ffa.txt,"上海,试验区,工作,汽车,全国,文化,飞机,大厅,医疗,核心",10,2843
text_43fea4d8-03a3-412c-913e-8e905c72e8f5.txt,"碳达峰,缔约方,峰会,沙漠,荒漠",5,255
text_44b8e30f-7ce7-4746-a684-097d2c661ce1.txt,"气候变化,巴黎,大会,机制,开幕式,公约,能力,能源,绿色,生态",10,2534
text_473d6235-e5bf-4571-9797-cf182176f74f.txt,"能源,革命,能源安全,事业,高质量,消费,油气,改革,时代,电力",10,3733
text_476aafb1-3b6d-48b6-bf4f-0330249a026a.txt,"人类,论坛,赤字,巴黎,主义,信任,对话,和平,人民,闭幕式",10,2219
text_482d65d5-da33-4f1c-bc0e-06e75a12982a.txt,"能源,供给,技术,消费,体制,股份,单位,制作,论坛,能源安全",10,341
text_487e040e-96fa-40fe-b15f-b14e11dfff05.txt,"生态,绿色,文明,资源,丹东市,财富,优势,底线,全民,辽宁省",10,1416
text_48b88f0f-c2c4-448f-aeb3-b1270b6fe666.txt,"气候变化,生态,公约,领导人,气候,行动,文明,绿色,公平正义,人类",10,1766
text_49cb6ece-46df-4d13-8425-8e896291db1b.txt,"科技,科学家,工作者,科学,精神,基础,人民,体系,人才,优势",10,4861
text_4af792d6-d087-49cb-b6ee-af8f50580bf9.txt,"核工业,全国,全面,核能,和平利用,能源安全,成就,战略决策,原子能,党中央",10,544
text_4ceaf49b-97dc-478a-bf2e-af0012b2e477.txt,"社会,全球化,普京,理念,圣彼得堡,倡议,利益,融合,和平,交流",10,3552
text_4d1c08a8-5b16-4127-bf1e-f4f55b33b52a.txt,"新区,规划,城市,绿色,话语,座谈会,工作,河北,生态,河北省",10,1792
text_51070f88-ff8c-4627-b616-890128e38d3d.txt,"光明网,工作,制度,政党,城镇化,无党派人士,广东,内蒙古,致公党,多党合作",10,2017
text_52099097-f7d5-4dd9-be60-c675f9fb1a29.txt,"生态,植树,义务,全民,植被,植树造林,卫星,森林,绿化,绿色",10,2198
text_52f69b25-e08d-4f89-94ed-ae6d3495c32e.txt,"生态,文明,理念,联合国环境规划署,卡塔尔,陈杉,绿色,老挝,荒漠化,记者",10,2196
text_5646cf47-dea5-4611-b098-54d3df6b3d6a.txt,"生态,文明,环境保护,思想,体系,绿色,环境治理,制度,污染,社会主义",10,5058
text_56f9926a-6a7b-4d48-9de8-fe05d8fdb293.txt,"国际标准,大会,国际电工委员会,碳循环,电动汽车,标准,标准化,高质量,高水平,开幕式",10,383
