fileId,orgin_fileId,title,url,keywords,description,source,author,date,year,domainName,websiteName,views,comments,likes,forwardings,language,area,title_in_article,news_category,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54
text_79703f94e02aaa4d5f5a34cb4ae63978.txt,79703f94e02aaa4d5f5a34cb4ae63978,日本吹响“氢能社会”集结号,https://news.bjx.com.cn/html/20190515/980373.shtml,"日本吹响“氢能社会”集结号,氢能,氢燃料发电,热电联产",日本吹响“氢能社会”集结号，发展氢能议题已列入即将于今年6月召开的2019年G20峰会议程，2020年东京奥运会则是日本向国际社会展示其氢能技术发展成果的一场“氢能秀”，2025年大阪世界博览会更是真正检阅日本氢能社会建设成果的“大考”。日本着,中国能源报,,2019/5/15,2019.0,news.bjx.com.cn,北极星网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_e224f088b7905ce86351c27172ebdec6.txt,e224f088b7905ce86351c27172ebdec6,日本首相安倍晋三鼓励新建核电站（图）,https://news.bjx.com.cn/html/20130105/411532.shtml,"日本首相安倍晋三鼓励新建核电站（图）,核电站,核反应堆,日本",日本首相安倍晋三鼓励新建核电站（图），12月31日电据共同社报道，日本首相安倍晋三31日出演TBS的电视节目时，就今后的核电政策表示：新建的核电站将和发生事故的东京电力公司福岛第一核电站完全不同。(政府)今后将一边争取国民的理解一边建设新的核电站。,中国新闻网,,2013/1/5,2013.0,news.bjx.com.cn,北极星网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_c1eaad980e6b10477794fbf1193c3376.txt,c1eaad980e6b10477794fbf1193c3376,日本公布可再生能源发展的新战略,https://news.bjx.com.cn/html/20120831/384850.shtml,"日本公布可再生能源发展的新战略,可再生能源,地热发电,发电",日本公布可再生能源发展的新战略，日本政府31日公布了实现可再生能源飞跃发展的新战略，目标是到2030年使海上风力、地热、生物质、海洋(波浪、潮汐)四个领域的发电能力扩大到2010年度的6倍以上。日本环境相细野豪志在当天的记者会上公布了这一新战略,新华网,,2012/8/31,2012.0,news.bjx.com.cn,北极星网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_36fdecadc956e430f93beeb6d93d3d77.txt,36fdecadc956e430f93beeb6d93d3d77,日本政府通过2030年温室气体比2013年减排26%目标,https://www.antpedia.com/news/04/n-1254204.html,"日本,气体排放,减排",日本政府2日举行“全球气候变暖对策推进本部”会议，通过了2030年温室气体排放要比2013年减少26％的新目标。不过，这个新目标比其他主要发达国家宣布的目标明显要低得多。 虽然日本首相安倍晋三声称日本政府“制定了在国际社会中毫不逊色的雄心勃勃的目标”，但是如果对照作为《京都议定书》基准年的1990年，这个减排目标仅相当于削减18％。作为对比，欧盟提出了20,,,2015.6.04,2015.0,www.antpedia.com,分析测试百科网,116,,0.0,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_7d932def21a061d356806fc17d1a2398.txt,7d932def21a061d356806fc17d1a2398,日本公司表示将继续削减碳排放,https://www.antpedia.com/news/71/n-115171.html,"京都议定书,排放量,技术,气候变化,环境,委员会,碳排放,二氧化碳",日本工业界的代表们表示，即使日本政府反对续签《京都议定书》二期协议而导致坎昆谈判崩溃，他们也将继续削减温室气体排放量。 行业官员称，在日本的高能源成本以及向新兴市场国家出口清洁能源、节能技术的趋势拉动下，不论政府目标如何，日本工业排放量仍将保持下降势头。 在墨西哥坎昆举行的本轮联合国气候变化谈判，主要分歧仍然在于穷国和富国在应对全球气候变化上的义务。 据路,,,2010.12.13,2010.0,www.antpedia.com,分析测试百科网,507,,1.0,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_613dd9e30fc46163dbbcd0ac7ab8c901.txt,613dd9e30fc46163dbbcd0ac7ab8c901,东京都提出可再生能源电力新目标：2030年达到30%,https://guangfu.bjx.com.cn/news/20160224/710409.shtml,"东京都提出可再生能源电力新目标：2030年达到30%,可再生能源,太阳能发电,日本光伏市场",东京都提出可再生能源电力新目标：2030年达到30%，东京都2月19日确定，要提出都内利用可再生能源电力的比例到2030年提高至30%左右;的新目标。东京都环境审议会（会长：早稻田大学教授田边新一）提交了题为关于东京都环境基本计划的理想方式的报告，报告中就含有这一,日经BP社,,2016/2/24,2016.0,news.bjx.com.cn,北极星网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_4c13d59096488b9a57c007f076702e10.txt,4c13d59096488b9a57c007f076702e10,日本众议院大选论战继续 在野党呼吁进一步普及太阳能等可再生能源,https://news.solarbe.com/201710/16/119466.html,"日本众议院大选论战继续　在野党呼吁进一步普及太阳能等可再生能源,可再生能源,太阳能发电,日本光伏市场",据日媒报道，安倍政府把利用核电站作为能源政策的支柱之一，已重启了关西电力高滨核电站3、4号机组(福井县)等5座机组。报道称，然而此次日本众院选举战中却未提及新增设核电站，未来蓝图十分模糊。在野党倡导零核电,中国新闻网                ,,2017/10/16,2017.0,news.solarbe.com,索比光伏网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_af3ce7054a0aaaba619d35fbf6ceb8c9.txt,af3ce7054a0aaaba619d35fbf6ceb8c9,日本绿色能源转型挑战重重,https://news.solarbe.com/202012/16/333162.html,"日本绿色能源转型挑战重重,光伏发电,可再生能源,日本光伏发电",12月8日，日本经济产业省宣布启动国家能源政策审查，以保障油气稳定供应为前提，加速推进太阳能和风能等可再生能源的应用，同时评估天然气制氢和氨的前景，为氢能经济战略规划铺路。业界普遍认为，日本此举是希望通,中国能源报                ,王林                    ,2020/12/16,2020.0,news.solarbe.com,索比光伏网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_0ea9fc0a3feeeaea20a905fa3dd07d4b.txt,0ea9fc0a3feeeaea20a905fa3dd07d4b,日本拟调整电能构成比例 到2050年可再生能源将占50%~60%,https://news.solarbe.com/202012/25/333406.html,"日本拟调整电能构成比例 到2050年可再生能源将占50%~60%,可再生能源,太阳能发电,日本光伏市场",人民网东京12月23日电，据《朝日新闻》网站报道，针对2050年的总发电量中各种电能的构成比例，日本经济产业省21日在专家会议上提出了可再生能源占5～6成、氢和氨的发电量合计占1成的方案。剩下的3～4成将依靠核电站,人民网东京                ,,2020/12/25,2020.0,news.solarbe.com,索比光伏网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
text_054e73b05792fad717c6ad75437d7a6a.txt,054e73b05792fad717c6ad75437d7a6a,日本推进清洁能源政策,https://newenergy.in-en.com/html/newenergy-1022281.shtml, 日本 清洁能源 政策 ,日本推进清洁能源政策， 日本首相菅直人可望发布一项推进清洁能源的政策，有意2030年前实现给所有新建建筑加装太阳能电池板。 据22日报道，菅直人定于5月26日和27日法国多维尔八...，国际新能源网,沈阳日报??,沈阳日报,2011/5/23,2011.0,in-en.com,国际电力、风力、太阳能等杂网,,,,,zh,日本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
